[1/46] 223ms | 62 cached | sports watch under 10000
[2/46] 84711ms | 63 cached | chronograph under 20000
[3/46] 54171ms | 64 cached | moonphase under 15000
[4/46] 49349ms | 65 cached | manual winding watch under 10000
[5/46] 50488ms | 66 cached | watch under 5000
[6/46] 49214ms | 67 cached | watch under 10000
[7/46] 50717ms | 68 cached | watch under 20000
[8/46] 49457ms | 69 cached | first watch
[9/46] 50212ms | 70 cached | first serious watch
[10/46] 49690ms | 71 cached | daily watch
[11/46] 49340ms | 72 cached | everyday watch
[12/46] 49799ms | 73 cached | wedding watch
[13/46] 48992ms | 74 cached | office watch
[14/46] 49829ms | 75 cached | travel watch
[15/46] 49192ms | 76 cached | one watch collection
[16/46] 49980ms | 77 cached | quiet luxury watch
[17/46] 39578ms | 78 cached | not flashy watch
[18/46] 49182ms | 79 cached | small wrist watch
[19/46] 48138ms | 80 cached | 38mm watch
[20/46] 50199ms | 81 cached | 38 to 40mm watch
[21/46] 4806857ms | 82 cached | thin dress watch
[22/46] 30486ms | 83 cached | blue dial watch
[23/46] 33233ms | 84 cached | black dial dress watch
[24/46] 35352ms | 85 cached | leather strap watch
[25/46] 35539ms | 86 cached | bracelet watch
[26/46] 36775ms | 87 cached | manual winding
[27/46] 40912ms | 88 cached | automatic watch
[28/46] 49952ms | 89 cached | moonphase
[29/46] 49477ms | 90 cached | perpetual calendar
[30/46] 51637ms | 91 cached | tourbillon
[31/46] 54626ms | 92 cached | perpetual tourbillon
[32/46] 58336ms | 93 cached | date watch
[33/46] 55670ms | 94 cached | german watch under 15000
[34/46] 57519ms | 95 cached | swiss watch under 10000
[35/46] 58272ms | 96 cached | japanese watch under 10000
[36/46] 60578ms | 97 cached | dress watch for suit
[37/46] 64912ms | 98 cached | weekend watch
[38/46] 63791ms | 99 cached | collector watch under 30000
[39/46] 59405ms | 100 cached | best value watch
[40/46] 58763ms | 101 cached | best watch under 10000
[41/46] 59077ms | 102 cached | vc overseas
[42/46] 61824ms | 103 cached | pp nautilus
[43/46] 59922ms | 104 cached | jlc reverso
[44/46] 60387ms | 105 cached | gs spring drive
[45/46] 59122ms | 106 cached | ap royal oak
[46/46] 61162ms | 107 cached | go panomaticlunar

--- Done ---
46 queries | avg 154261ms | 7239s total | final cached: 107
