Id,Name,BrandId,Description,Image
1,Calatrava,1,"Patek Philippe’s Calatrava embodies the quintessential classic dress watch. Launched in the early 1930s, it set the standard for understated elegance with its pure round case, clean dial, and timeless design ethos. Every Calatrava piece exudes refinement – from sleek hands and markers to the subtle details like the signature hobnail ""Clous de Paris"" bezels on some models. This collection reflects Patek Philippe’s philosophy of tradition and lasting value; a Calatrava is often seen as an heirloom watch to be cherished across generations. Its enduring simplicity and craftsmanship make the Calatrava not only an icon of the brand, but also a reference point for all elegant wristwatches.",patekphillipe.png
2,Nautilus,1,"The Patek Philippe Nautilus is an icon that redefined luxury sports watches. Debuting in 1976 in stainless steel, it was an audacious departure for the esteemed brand – combining casual sportiness with Patek’s renowned craftsmanship. Its porthole-inspired octagonal bezel and integrated bracelet, conceived by legendary designer Gérald Genta, impart a distinctive and elegant silhouette that remains timeless. The Nautilus brought a new generation of enthusiasts into the Patek Philippe fold, offering robust water resistance and everyday versatility without sacrificing refinement. Decades on, it stands as one of the world’s most coveted timepieces, symbolizing a perfect blend of laid-back luxury and horological excellence – and an enduring statement of refined taste.",patekphillipe.png
3,Aquanaut,1,"The Aquanaut showcases Patek Philippe’s modern, youthful take on the luxury sports watch. Launched in 1997 as a fresh counterpart to the Nautilus, it introduced a bold new style with its distinctive checkerboard-textured dial and a resilient rubber “tropical” strap. The design retains Patek’s renowned elegance and quality while appealing to a generation seeking a more casual and contemporary vibe. With its rounded octagonal case (echoing the Nautilus’ porthole shape) and excellent water resistance, the Aquanaut is built for an active lifestyle. It has become a symbol of Patek Philippe’s versatility – a watch that blends relaxed modern flair with the brand’s traditional craftsmanship and prestige.",patekphillipe.png
4,Grand Complications,1,"Patek Philippe’s Grand Complications represent the pinnacle of its watchmaking artistry. This collection gathers the maison’s most complex and ingenious timepieces – watches that unite multiple high complications such as perpetual calendars, minute repeaters, tourbillons, chronographs, and celestial displays. Each Grand Complication is a marvel of micro-engineering and hand-finishing, often requiring years of development and extraordinary craftsmanship to bring to life. These are the watches that push the boundaries of horology, showcasing Patek Philippe’s leadership in technical innovation. Revered by collectors, a Grand Complication embodies the heritage and prestige of the brand, offering an unparalleled blend of technical virtuosity and timeless elegance. In both complexity and refinement, it stands as the ultimate expression of Patek Philippe’s savoir-faire.",patekphillipe.png
5,Patrimony,2,"The Patrimony collection exemplifies Vacheron Constantin’s dedication to timeless elegance and purity of design. Inspired by the refined styles of the 1950s, each Patrimony watch is a study in minimalist perfection – with slim profiles, gently curved cases, and uncluttered dials that exude sophistication. Every detail, from the subtle baton hour markers to the sweep of its delicate hands, is executed with restraint and impeccable craftsmanship. This line captures the essence of Vacheron Constantin’s heritage, marrying historical grace with modern watchmaking excellence (often to Geneva Hallmark standards). The name “Patrimony” itself reflects legacy; these classic timepieces are designed to transcend trends, remaining eternally in style.",vacheronconstantine.png
6,Overseas,2,"The Overseas collection is Vacheron Constantin’s embodiment of elegant travel-ready sports luxury. Conceived for the cosmopolitan adventurer, these watches unite robust performance with the maison’s refined craftsmanship. An evolution of a 1970s Vacheron icon, the Overseas features a distinctive six-sided bezel (evoking the brand’s Maltese cross emblem) and an integrated bracelet or strap system for versatility. With solid water resistance and antimagnetic protection, it’s built for exploration – yet every dial and movement is finished to haute horlogerie standards, including Geneva Seal quality on many models. Whether displaying simple hours and minutes or high complications like perpetual calendars and world times, the Overseas blends technical prowess with effortless sophistication for those on the move.",vacheronconstantine.png
7,Historiques,2,"The Historiques collection is Vacheron Constantin’s tribute to its own rich heritage, reviving iconic designs from the past for today’s connoisseurs. Each Historiques piece is a carefully modernized reinterpretation of a historical Vacheron timepiece – capturing the charm and character of the original while integrating contemporary watchmaking standards. From early 20th-century avant-garde designs to mid-century classics, these limited-production models allow enthusiasts to own a slice of the maison’s 265+ year legacy. Whether it’s a quirky driver’s watch from the 1920s or a famed vintage chronograph, the Historiques collection celebrates Vacheron Constantin’s design evolution, showcasing timeless aesthetics that have been reborn for modern wrists.",vacheronconstantine.png
8,Métiers d’Art,2,"The Métiers d’Art collection showcases Vacheron Constantin’s devotion to the decorative arts in watchmaking. These extraordinary timepieces serve as canvases for master artisans, featuring exquisite techniques like enameling, engraving, guilloché, gem-setting, and miniature painting. Each limited-edition series draws inspiration from art, history, or culture – transforming time telling into a storytelling tableau on the dial. Mechanics take a poetic backseat here to craftsmanship: often the watches use creative displays (like windows or discs) to let the artwork shine uninterrupted by hands. The result is a marriage of haute horlogerie and fine art. Métiers d’Art pieces are wearable masterpieces that celebrate the maison’s heritage of artistry and its passion for preserving rare crafts.",vacheronconstantine.png
9,Les Cabinotiers,2,"Les Cabinotiers is Vacheron Constantin’s exclusive department dedicated to bespoke and one-of-a-kind timepieces. Named after the master watchmakers (cabinotiers) of 18th-century Geneva, this collection offers the ultimate in personalization and complexity. Whether it’s a unique artistic dial or an ultra-complicated grand complication with dozens of functions, each Les Cabinotiers creation is custom-designed for a discerning collector. These watches often showcase the very limits of the maison’s craftsmanship – from intricate engravings and enamel miniatures to groundbreaking multi-complication movements. Unrestricted by regular production, a Cabinotiers piece is a singular horological masterpiece that embodies Vacheron Constantin’s legacy of innovation, artistry, and exclusivity at its zenith.",vacheronconstantine.png
10,Royal Oak,3,"Audemars Piguet’s Royal Oak is a true legend that reshaped the landscape of luxury watch design. Introduced in 1972 and penned by Gérald Genta, it was the first high-end sports watch crafted in stainless steel, daringly introduced during an era of gold timepieces. Its instantly recognizable features – the octagonal bezel secured by eight exposed hexagonal screws, the textured “tapisserie” pattern dial, and the seamlessly integrated bracelet – broke all conventions. Initially a bold gamble, the Royal Oak has since become the emblem of AP’s innovative spirit. It marries sporty robustness with fine hand-finishing (polished bevels, satin brushing) at a level previously reserved for dress watches. Decades on, the Royal Oak remains one of the most sought-after and iconic timepieces, symbolizing Audemars Piguet’s fusion of tradition and avant-garde design.",audemarspiguet.png
11,Royal Oak Offshore,3,"The Royal Oak Offshore takes Audemars Piguet’s iconic Royal Oak design into bold new territory. Launched in 1993 to mark the Royal Oak’s 20th anniversary, the Offshore was nicknamed “The Beast” for its then-oversized 42mm case and muscular proportions – an audacious move that pioneered the era of large luxury sports watches. It amplifies the Royal Oak’s signature elements with a sportier twist: a thicker octagonal bezel with visible gasket, prominent chronograph pushers and crown guards (often clad in rubber or ceramic), and a robust construction geared for adventure. Despite its beefed-up build and modern materials, the Offshore maintains AP’s high level of finishing and detail. This collection embodies a fearless, contemporary spirit, appealing to those who desire the Royal Oak’s DNA in a more extreme, adrenaline-ready form.",audemarspiguet.png
12,Royal Oak Concept,3,"The Royal Oak Concept series represents Audemars Piguet’s avant-garde playground – the watch equivalent of a concept car. First unveiled in 2002, this collection pushes the Royal Oak’s design DNA to futuristic extremes, showcasing cutting-edge materials (like forged carbon, ceramic, titanium) and groundbreaking complications. Concept models often feature bold openworked dials and sculptural, high-tech cases that reimagine the Royal Oak’s signature octagonal form in dramatically modern ways. These timepieces are produced in very limited numbers and serve as a testbed for Audemars Piguet’s technical and aesthetic innovations – from advanced tourbillon chronographs to ultra-modern displays. The Royal Oak Concept embodies the brand’s daring vision of the future of haute horlogerie, where boundary-pushing engineering meets audacious design.",audemarspiguet.png
13,Reverso,3,"The Reverso is an Art Deco icon of watchmaking, celebrated for its ingenious reversible case. Born in 1931 from Jaeger-LeCoultre’s inventive spirit, it was originally designed to help polo players protect their watch crystals – the entire watch face flips over to shield it from impacts. This practical solution was executed with such elegant style that the Reverso soon transcended its sporting origins to become a timeless classic. Its rectangular case, streamlined geometry, and subtle ornamentation (like gadroons framing the dial) exude 1930s elegance. Many Reverso models feature a blank metal reverse side or a second dial, inviting personalization and dual time zone complications. For nearly a century, the Reverso’s unique blend of functionality and style has symbolized the maison’s heritage of innovation and refinement.",jaegerlecoultre.png
