Id,Name,BrandId,CollectionId,CurrentPrice,Description,Specs,Image,AdditionalImages
1,6119G Clous de Paris,1,1,"84,000","The 6119G breathes fresh life into the Calatrava line with its refined reinterpretation of the iconic hobnail bezel. Launched in 2021, it blends contemporary proportions with classical detailing, featuring a sleek gray dial and small seconds for added elegance. Its clean aesthetic and slim profile are perfect for understated sophistication, while the hand-wound caliber nods to traditional watchmaking. A versatile piece for the modern collector who values heritage with a modern twist.","Movement: Manual Patek Caliber 30‑255 PS (65h power reserve); Case: 39 mm white gold, 8.1 mm thick; Dial: Gray, hobnail bezel; Strap: Black alligator; Water Resistance: 30 m",PP6119G.png,
2,5227G-010 Automatic Date,1,1,"113,000","Understated elegance meets old-world charm in the Calatrava 5227G. Crafted in 18k white gold, its clean ivory lacquer dial hides a secret: a hinged officer-style caseback, paying tribute to horological heritage. With automatic movement and date functionality, this 39 mm timepiece is ideal for the refined gentleman seeking discretion, comfort, and enduring Patek Philippe craftsmanship in one seamless design.","Movement: Automatic Patek Caliber 324 SC (~45h reserve); Case: 39 mm 18k white gold, hinged officer caseback; Dial: Ivory lacquer, gold dauphine hands, date aperture; Strap: Brown alligator leather; Water Resistance: 30 m",PP5227G.png,
3,Weekly Calendar 5212A,1,1,"103,000","A rare expression of casual sophistication, the 5212A brings playful nuance to the Calatrava line. Housed in a stainless-steel case, its dial features a handwritten-style weekly calendar—one of Patek’s most charming complications. Released in 2019, it marries utility with uniqueness, driven by the automatic caliber 26‑330 S C J SE. An unconventional yet deeply collectible choice for connoisseurs who appreciate elegant innovation.","Movement: Automatic Patek Caliber 26‑330 S C J SE (weekly calendar, ~45h reserve); Case: 40 mm stainless steel; Dial: Opaline silver, day and week indicators (handwritten font); Strap: Calf leather, vintage brown; Water Resistance: 30 m",PP5212A.png,
4,5811/1G Blue Dial,1,2,"127,250","Arguably the most coveted luxury sports watch of the 21st century. A cultural icon and modern legend. A seamless continuation of one of the most celebrated designs in watchmaking history. The Nautilus 5811/1G builds on the legacy of the legendary 5711, reimagined in white gold with subtle refinements that honor its heritage. Drawing from Gérald Genta’s 1976 blueprint, this evolution retains the signature porthole-inspired case and horizontal embossing, now paired with a deeper, more radiant sunburst blue dial. Released in 2022 to mark the end of the steel era, the 5811 is more than a successor — it’s a statement of quiet luxury, exclusivity, and modern craftsmanship. Understated yet iconic, it signals a new chapter for Patek Philippe’s most coveted silhouette.","Movement: Automatic Patek Caliber 26‑330 S C; Case: 41 mm white gold, 8.2 mm thick; Dial: Sunburst blue with horizontal embossing, date at 3; Bracelet: Integrated white gold bracelet; Water Resistance: 120 m",PP58111G.png,
5,5712/1A Moonphase,1,2,Price on request,"The 5712/1A introduces asymmetry and complication to the Nautilus family. With its moonphase, power reserve, and analog date all arranged off-center, it feels artistically unbalanced—in the best way. Crafted in stainless steel, it maintains the Nautilus’s iconic silhouette while delivering extra mechanical intrigue. Loved for its nuanced dial layout and casual elegance, the 5712/1A is a cult favorite that blends sporty appeal with poetic complication.","Movement: Automatic Patek Caliber 240 PS IRM C LU (micro-rotor, ~48h reserve); Case: 40 mm stainless steel; Dial: Blue/gray, moonphase display, analog date, power reserve indicator; Bracelet: Integrated steel bracelet; Water Resistance: 60 m",PP5712.png,
6,5740/1G Perpetual Calendar,1,2,"206,000","Blending sporty aesthetics with grand complication, the 5740/1G is the first Nautilus to feature a perpetual calendar. Housed in 18k white gold, it delivers full calendar functionality while maintaining an ultra-thin profile—no small feat of engineering. Introduced in 2018, it became an instant flagship of the line, combining modern luxury with elite technical prowess. This is the Nautilus at its most complicated, elegant, and refined.","Movement: Ultra-thin Automatic Caliber 240 Q (perpetual calendar, moonphase, 48h); Case: 40 mm 18k white gold, 8.4 mm thick; Dial: Blue sunburst, day/date/month and moonphase subdials; Bracelet: Integrated white gold bracelet; Water Resistance: 60 m",PP5740.png,
7,5167A Steel,1,3,"62,000","The 5167A defines casual elegance in steel. Launched in 2007, this Aquanaut features a clean, embossed black dial and tropical rubber strap that screams versatility. Its 40 mm case hits the sweet spot for daily wear, while the automatic movement ensures reliability. The 5167A is beloved for its no-fuss design, contemporary sportiness, and touch of youthful energy—perfect for the collector who wants a luxury piece that’s truly wearable.","Movement: Automatic Patek Caliber 324 SC; Case: 40 mm stainless steel, ~8.5 mm thick; Dial: Black checkerboard pattern, applied numerals, date at 3; Strap: Black composite rubber with steel folding clasp; Water Resistance: 120 m",PP5167A.png,
8,5168G-001,1,3,"108,000","Bolder in both presence and tone, the 5168G marks the 20th anniversary of the Aquanaut collection with a striking twist. Crafted in luxurious white gold, its oversized 42.2 mm case elevates the line’s sporty identity while maintaining its signature curvature and wearability. The gradient blue dial—shifting from deep navy to electric azure—adds modern vibrancy and depth, matched seamlessly by the color-matched rubber strap. Powered by the Caliber 324 S C, it balances rugged athleticism with refined execution. This is the Aquanaut for those who demand subtle flex, timeless silhouette, and uncompromising quality.","Movement: Automatic Patek Caliber 324 S C (~45h reserve); Case: 42.2 mm 18k white gold, 8.25 mm thick;Dial: Gradient blue embossed, gold applied numerals;Strap: Blue tropical rubber with white gold fold-over clasp;Water Resistance: 120 m",PP5168G.png,
9,5968A Chronograph,1,3,"93,000","Launched in 2018, the 5968A is the Aquanaut’s answer to bold, modern sportiness. With a 60-minute flyback chronograph, bright orange accents, and an athletic steel case, it captures a new generation’s idea of fun luxury. Despite the flair, it retains Patek’s quality and finishing, making it both playful and prestigious. It’s not just a chronograph—it’s a statement.","Movement: Automatic Patek Caliber CH 28‑520 C (flyback chronograph, 45h reserve); Case: 42.2 mm stainless steel; Dial: Black embossed, orange chronograph hand and 60-min counter; Strap: Orange or black composite rubber strap; Water Resistance: 120 m",PP5968A.png,
10,6300G Grandmaster Chime,1,4,Price on request,"The Grandmaster Chime 6300 is a monumental creation—Patek’s most complicated wristwatch with 20 complications across two dials. First introduced in 2014 as ref. 5175, this masterpiece features a reversible case with chiming functions, perpetual calendar, dual time zones, and more. Made in minuscule quantities and often by special order, it is the pinnacle of haute horlogerie. Part sculpture, part symphony—there’s nothing else quite like it.","Movement: Hand-wound Patek Caliber 300 GS ALU 36‑750 QIS FUS IRM (1366 parts, 30h chiming reserve); Case: 47.7 mm, reversible double-dial (white gold); Complications: Grande & Petite Sonnerie, Minute Repeater, Alarm, Perpetual Calendar (four-digit year), Moonphase, Dual Time, Power Reserves, etc; Strap: Alligator leather",PP6300.png,
